STATE,PLACE,name,total,total_males,35_39,40_44,45_49,eligible,percent_eligible,centroid
51,67000,"Richmond city, Virginia",193074,90607,5075,2063,1994,9132,0.10078691491827342,POINT (-77.47555826090753 37.52944525566966)
51,82000,"Virginia Beach city, Virginia",373097,181264,5238,3299,1932,10469,0.057755538882513904,POINT (-76.04348704274733 36.73351834402572)
53,05210,"Bellevue city, Washington",126777,64019,1326,1259,761,3346,0.05226573361033443,POINT (-122.15352767975827 47.59511698007762)
53,35415,"Kent city, Washington",107053,53504,1799,1251,861,3911,0.07309733851674641,POINT (-122.21285742791879 47.38872628070593)
53,63000,"Seattle city, Washington",653471,333625,15357,9026,5522,29905,0.08963656800299738,POINT (-122.32436054174676 47.621114774693794)
53,67000,"Spokane city, Washington",190655,94443,2732,2021,1660,6413,0.06790339146363415,POINT (-117.4330115050846 47.667079711549924)
53,70000,"Tacoma city, Washington",184214,91996,3983,2456,1847,8286,0.09006913344058437,POINT (-122.45311436438593 47.243137904608915)
53,74060,"Vancouver city, Washington",158559,77022,2483,1585,953,5021,0.06518916673158319,POINT (-122.59662778814617 45.63664406511731)
55,48000,"Madison city, Wisconsin",237544,118772,3440,2585,1759,7784,0.06553733203111844,POINT (-89.39044186348457 43.081500638524844)
55,53000,"Milwaukee city, Wisconsin",447580,213353,8863,7328,5532,21723,0.10181717622906639,POINT (-87.96751898283003 43.06426655826128)
