STATE,PLACE,name,total,total_males,35_39,40_44,45_49,eligible,percent_eligible,centroid
47,15160,"Clarksville city, Tennessee",131865,65537,1786,1109,508,3403,0.05192486686909684,POINT (-87.34136469049129 36.56908810358111)
47,40000,"Knoxville city, Tennessee",164271,78618,2461,1633,1030,5124,0.06517591391284439,POINT (-83.94964383673296 35.96922128108606)
47,48000,"Memphis city, Tennessee",495571,230504,9070,7416,5356,21842,0.09475757470586194,POINT (-89.96690085232433 35.10848086526202)
47,51560,"Murfreesboro city, Tennessee",127475,62231,1730,560,899,3189,0.05124455657148366,POINT (-86.41162429809494 35.84827106355682)
47,52006,"Nashville-Davidson metropolitan government (balance), Tennessee",563245,270525,9957,6648,4845,21450,0.07929026892154145,POINT (-86.78428069848223 36.17146250821248)
48,01000,"Abilene city, Texas",102844,52606,1495,1312,434,3241,0.06160894194578565,POINT (-99.73837624929446 32.454290109348044)
48,03000,"Amarillo city, Texas",157357,76545,1423,1403,736,3562,0.046534718139656414,POINT (-101.83258691337454 35.1975717811411)
48,04000,"Arlington city, Texas",313800,151993,3953,2300,2202,8455,0.05562756179560901,POINT (-97.12505358130385 32.6998072766706)
48,05000,"Austin city, Texas",818667,419018,21058,11949,7761,40768,0.09729414965466877,POINT (-97.75402904263414 30.29861623380381)
48,10768,"Brownsville city, Texas",143166,67686,1669,811,711,3191,0.04714416570634991,POINT (-97.45773332076867 25.997071928166537)
48,13024,"Carrollton city, Texas",110983,54809,1562,861,733,3156,0.057581784013574416,POINT (-96.89993348537679 32.98895777163646)
48,15976,"College Station city, Texas",104896,53864,915,358,277,1550,0.02877617703846725,POINT (-96.29594989622092 30.58515566387401)
48,17000,"Corpus Christi city, Texas",254642,125750,3821,2537,2024,8382,0.06665606361829025,POINT (-97.37668577916588 27.725422319357556)
48,19000,"Dallas city, Texas",1036530,513966,17176,15121,10875,43172,0.08399777417183238,POINT (-96.7665965564214 32.79358883715795)
48,19972,"Denton city, Texas",124513,60973,1265,785,397,2447,0.04013251767175635,POINT (-97.14207442523978 33.21705157148767)
48,24000,"El Paso city, Texas",536568,261726,7673,4036,3000,14709,0.056199995415052384,POINT (-106.4299593247747 31.84756381616061)
48,27000,"Fort Worth city, Texas",732215,354785,9813,6728,4531,21072,0.05939371732175825,POINT (-97.34822136688452 32.78194816095708)
48,27684,"Frisco city, Texas",164144,80589,728,442,346,1516,0.018811500328828997,POINT (-96.82162608245703 33.15590381464614)
48,29000,"Garland city, Texas",192669,94759,2019,2196,1507,5722,0.06038476556316551,POINT (-96.63064704866952 32.91010376368053)
48,30464,"Grand Prairie city, Texas",153088,73524,1787,914,770,3471,0.04720907458788967,POINT (-97.02076488113485 32.6871497397882)
48,35000,"Houston city, Texas",1846503,913237,35082,25135,16983,77200,0.08453446367153324,POINT (-95.38857220389379 29.786044552656737)
48,37000,"Irving city, Texas",198473,99809,2623,2281,1189,6093,0.061046599004097826,POINT (-96.97017634712739 32.85828078012267)
48,39148,"Killeen city, Texas",117061,56895,1603,984,591,3178,0.05585728095614729,POINT (-97.73014163342168 31.075637120099174)
48,41464,"Laredo city, Texas",188584,92543,2084,1202,890,4176,0.04512496893336071,POINT (-99.48751564639974 27.562539920433654)
48,42508,"Lewisville city, Texas",103402,49948,1347,919,446,2712,0.05429646832706014,POINT (-96.97534251527641 33.04533894520266)
48,45000,"Lubbock city, Texas",211490,103168,2674,1705,660,5039,0.04884266439205955,POINT (-101.88928845633664 33.56183735914465)
48,45384,"McAllen city, Texas",111069,53352,1848,847,660,3355,0.06288424051581946,POINT (-98.24667742015967 26.225196440864234)
48,45744,"McKinney city, Texas",157131,78345,1246,835,792,2873,0.03667113408641266,POINT (-96.6669560827932 33.20154185738586)
48,47892,"Mesquite city, Texas",114836,54073,1363,1368,367,3098,0.0572929188319494,POINT (-96.5845085942324 32.75932474519064)
48,48072,"Midland city, Texas",100122,51383,1222,1109,490,2821,0.054901426541852365,POINT (-102.11496355033688 32.024233454455526)
48,56000,"Pasadena city, Texas",113764,56068,1206,681,727,2614,0.04662195904972533,POINT (-95.14964265711106 29.657395262282414)
48,58016,"Plano city, Texas",237633,116390,2643,1815,664,5122,0.04400721711487241,POINT (-96.7486765581831 33.05023687060063)
48,63500,"Round Rock city, Texas",100257,48600,1577,1036,263,2876,0.059176954732510285,POINT (-97.66388412768056 30.527076957506125)
48,65000,"San Antonio city, Texas",1171913,575541,20446,14270,8191,42907,0.07455072705506645,POINT (-98.52430036327374 29.462732640443868)
48,76000,"Waco city, Texas",114367,53958,1646,829,504,2979,0.05520960747247859,POINT (-97.18932656795836 31.55786562064207)
49,67000,"Salt Lake City city, Utah",175141,90337,4130,1656,1467,7253,0.08028825398231068,POINT (-111.93049325980789 40.77720903601221)
49,83470,"West Valley City city, Utah",103627,52389,1448,858,523,2829,0.0539998854721411,POINT (-112.0122559479958 40.688546332790565)
51,01000,"Alexandria city, Virginia",131822,63257,3061,1883,1538,6482,0.10247087278878227,POINT (-77.08613412695486 38.81848909771498)
51,03000,"Arlington CDP, Virginia",199380,99956,4120,2277,1572,7969,0.0797250790347753,POINT (-77.10106755834333 38.87856093784521)
51,16000,"Chesapeake city, Virginia",200931,97668,1671,1850,962,4483,0.04590039726420117,POINT (-76.30225943425623 36.677783109094186)
51,35000,"Hampton city, Virginia",112604,53293,1768,757,573,3098,0.05813146191807554,POINT (-76.36320473969165 37.05542448188865)
51,56000,"Newport News city, Virginia",148294,71149,2228,1289,1020,4537,0.063767586332907,POINT (-76.51814137660118 37.10496421408604)
51,57000,"Norfolk city, Virginia",193762,98204,3097,2237,1314,6648,0.06769581687100322,POINT (-76.25696505469811 36.89471627883799)
